model,RMSE(mean),RMSE(std),MAE(mean)
GradientBoosting,0.18622173713048423,0.0077823092436087185,0.14840684661945444
GradientBoosting,0.18622173713048423,0.0077823092436087185,0.14840684661945444
RandomForest(n=400),0.18999351579740434,0.005732348576734227,0.15168102135678313
"ElasticNet{'model__alpha': 0.01, 'model__l1_ratio': 0.1}",0.19745527484596037,0.00865866756258913,0.15823657509347794
LinearRegression,0.19849740238966335,0.008914852978498214,0.15806949278254798
